[DEBUG] [2020-12-13 14:00:01] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 58cf327c95f4456890e29f750567207c, msgType : 19
[INFO] [2020-12-13 14:16:25] AmopImp.sendSubscribe(193) | update subscribe inform 2 peers
[DEBUG] [2020-12-13 14:16:25] AmopImp.updateSubscribeToPeer(215) | update topics to node, node:127.0.0.1:20200, topics:["_block_notify_1"]
[DEBUG] [2020-12-13 14:16:25] AmopImp.updateSubscribeToPeer(215) | update topics to node, node:127.0.0.1:20201, topics:["_block_notify_1"]
[INFO] [2020-12-13 14:16:25] AmopImp.start(165) | amop module started
[INFO] [2020-12-13 14:16:25] AmopImp.sendSubscribe(193) | update subscribe inform 2 peers
[DEBUG] [2020-12-13 14:16:25] AmopImp.updateSubscribeToPeer(215) | update topics to node, node:127.0.0.1:20200, topics:["_block_notify_1"]
[DEBUG] [2020-12-13 14:16:25] AmopImp.updateSubscribeToPeer(215) | update topics to node, node:127.0.0.1:20201, topics:["_block_notify_1"]
[INFO] [2020-12-13 14:16:25] BcosSDK.<init>(90) | create BcosSDK, create Amop success
[DEBUG] [2020-12-13 14:16:25] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 4424f3e2d5674f5e88b098fbdd6d6d0a, msgType : 18
[DEBUG] [2020-12-13 14:16:25] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 92b55b8a325f4bb7b1e9f93c5b0ef23b, msgType : 18
[DEBUG] [2020-12-13 14:16:25] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 3687f1c7d3394d25b8e4e889e994fe55, msgType : 18
[DEBUG] [2020-12-13 14:16:25] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 737977b43eb64b3ea2ae1f5ba75dc370, msgType : 18
[INFO] [2020-12-13 14:16:25] CryptoSuite.<init>(52) | init CryptoSuite, cryptoType: 0
[INFO] [2020-12-13 14:16:25] Client.build(111) | build client success for group 1
[INFO] [2020-12-13 14:16:25] BcosSDK.getClient(149) | create client for group 1 success
[DEBUG] [2020-12-13 14:16:25] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 0720966c1f8e468e8de601017b4df480, msgType : 18
[DEBUG] [2020-12-13 14:16:25] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : f5028587f9d34462b6b57aecb27c3097, msgType : 18
[DEBUG] [2020-12-13 14:16:25] ConsoleInitializer.loadAccountRandomly(177) | loadAccountRandomly, keyStoreFileDirPath:account/ecdsa
[DEBUG] [2020-12-13 14:16:25] ConsoleInitializer.loadAccountRandomly(186) | load pem account from /root/fisco/console/account/ecdsa/0x63d109f51ca22885ad973cdd1b6c67765ba39fd9.pem
[DEBUG] [2020-12-13 14:16:26] CryptoSuite.loadAccount(102) | Load account from /root/fisco/console/account/ecdsa/0x63d109f51ca22885ad973cdd1b6c67765ba39fd9.pem
[WARN] [2020-12-13 14:16:26] KeyTool.getMethod(217) | get method for EC5Util failed, method name: convertSpec
[WARN] [2020-12-13 14:16:26] KeyTool.getMethod(217) | get method for EC5Util failed, method name: convertSpec
[DEBUG] [2020-12-13 14:16:26] TransactionProcessorFactory.getChainIdAndGroupId(34) | getNodeVersion before createTransactionManager, binaryVerison: 2.7.0, supportedVersion:2.7.0
[DEBUG] [2020-12-13 14:16:26] TransactionProcessorFactory.getChainIdAndGroupId(48) | createTransactionManager for >=rc2 node, chainId: 1, groupId: 1
[DEBUG] [2020-12-13 14:16:26] TransactionProcessorFactory.getChainIdAndGroupId(34) | getNodeVersion before createTransactionManager, binaryVerison: 2.7.0, supportedVersion:2.7.0
[DEBUG] [2020-12-13 14:16:26] TransactionProcessorFactory.getChainIdAndGroupId(48) | createTransactionManager for >=rc2 node, chainId: 1, groupId: 1
[DEBUG] [2020-12-13 14:16:26] TransactionProcessorFactory.getChainIdAndGroupId(34) | getNodeVersion before createTransactionManager, binaryVerison: 2.7.0, supportedVersion:2.7.0
[DEBUG] [2020-12-13 14:16:26] TransactionProcessorFactory.getChainIdAndGroupId(48) | createTransactionManager for >=rc2 node, chainId: 1, groupId: 1
[DEBUG] [2020-12-13 14:16:26] TransactionProcessorFactory.getChainIdAndGroupId(34) | getNodeVersion before createTransactionManager, binaryVerison: 2.7.0, supportedVersion:2.7.0
[DEBUG] [2020-12-13 14:16:26] TransactionProcessorFactory.getChainIdAndGroupId(48) | createTransactionManager for >=rc2 node, chainId: 1, groupId: 1
[DEBUG] [2020-12-13 14:16:26] TransactionProcessorFactory.getChainIdAndGroupId(34) | getNodeVersion before createTransactionManager, binaryVerison: 2.7.0, supportedVersion:2.7.0
[DEBUG] [2020-12-13 14:16:26] TransactionProcessorFactory.getChainIdAndGroupId(48) | createTransactionManager for >=rc2 node, chainId: 1, groupId: 1
[DEBUG] [2020-12-13 14:16:26] TransactionProcessorFactory.getChainIdAndGroupId(34) | getNodeVersion before createTransactionManager, binaryVerison: 2.7.0, supportedVersion:2.7.0
[DEBUG] [2020-12-13 14:16:26] TransactionProcessorFactory.getChainIdAndGroupId(48) | createTransactionManager for >=rc2 node, chainId: 1, groupId: 1
[DEBUG] [2020-12-13 14:16:26] TransactionProcessorFactory.getChainIdAndGroupId(34) | getNodeVersion before createTransactionManager, binaryVerison: 2.7.0, supportedVersion:2.7.0
[DEBUG] [2020-12-13 14:16:26] TransactionProcessorFactory.getChainIdAndGroupId(48) | createTransactionManager for >=rc2 node, chainId: 1, groupId: 1
[DEBUG] [2020-12-13 14:16:26] TransactionProcessorFactory.getChainIdAndGroupId(34) | getNodeVersion before createTransactionManager, binaryVerison: 2.7.0, supportedVersion:2.7.0
[DEBUG] [2020-12-13 14:16:26] TransactionProcessorFactory.getChainIdAndGroupId(48) | createTransactionManager for >=rc2 node, chainId: 1, groupId: 1
[DEBUG] [2020-12-13 14:16:26] TransactionProcessorFactory.getChainIdAndGroupId(34) | getNodeVersion before createTransactionManager, binaryVerison: 2.7.0, supportedVersion:2.7.0
[DEBUG] [2020-12-13 14:16:26] TransactionProcessorFactory.getChainIdAndGroupId(48) | createTransactionManager for >=rc2 node, chainId: 1, groupId: 1
[DEBUG] [2020-12-13 14:16:26] TransactionProcessorFactory.getChainIdAndGroupId(34) | getNodeVersion before createTransactionManager, binaryVerison: 2.7.0, supportedVersion:2.7.0
[DEBUG] [2020-12-13 14:16:26] TransactionProcessorFactory.getChainIdAndGroupId(48) | createTransactionManager for >=rc2 node, chainId: 1, groupId: 1
[DEBUG] [2020-12-13 14:16:27] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 83f3a698c6a94fe2a7d81b4204e76558, msgType : 19
[DEBUG] [2020-12-13 14:16:27] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 905abf6fa968449697567acdf04bbf23, msgType : 19
[DEBUG] [2020-12-13 14:16:29] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 325cd17dee3444d093dbccca0be1adce, msgType : 19
[DEBUG] [2020-12-13 14:16:29] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : e51db3064ee84563ba6dea5a5a3c0f76, msgType : 19
[DEBUG] [2020-12-13 14:16:31] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : f6ea45f22f7a4ab9a802b59038991abc, msgType : 19
[DEBUG] [2020-12-13 14:16:31] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 7c20862845ee49bda62c77ad348cbb37, msgType : 19
[DEBUG] [2020-12-13 14:16:33] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 04c68130c793407b9e111e8b3f65b1f6, msgType : 19
[DEBUG] [2020-12-13 14:16:33] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : ea79fd9eb0144bf1937f028ab986b749, msgType : 19
[DEBUG] [2020-12-13 14:16:35] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 697c8f3d98d84ded9df422422db2a8d2, msgType : 19
[DEBUG] [2020-12-13 14:16:35] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 9a7038a940c44881b81dcd8b9f47d50c, msgType : 19
[DEBUG] [2020-12-13 14:16:37] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : b4af52160f41419dbb92a7776876a4d7, msgType : 19
[DEBUG] [2020-12-13 14:16:37] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : dc99c60aaddd4e528a54e9fbb55f4b4c, msgType : 19
[DEBUG] [2020-12-13 14:16:39] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : b965f426e8b54cc8b782267c15260a69, msgType : 19
[DEBUG] [2020-12-13 14:16:39] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 07c0e452e69444eaae85100bd01ea0c9, msgType : 19
[DEBUG] [2020-12-13 14:16:39] ChannelMsgHandler.onMessage(156) |  call 
[DEBUG] [2020-12-13 14:16:41] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : b945eeba28b746ff937a705b3d04c382, msgType : 19
[DEBUG] [2020-12-13 14:16:41] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 2d3bf14ce12b431691b61bd3845e699a, msgType : 19
[DEBUG] [2020-12-13 14:16:43] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : ec9aed8649b34aed86f5cf5edb005b30, msgType : 19
[DEBUG] [2020-12-13 14:16:43] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : db9c8a30d03d4d6fb4a853071acc8079, msgType : 19
[DEBUG] [2020-12-13 14:16:45] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 14703399b24341f0bcc4e540a3db1335, msgType : 19
[DEBUG] [2020-12-13 14:16:45] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 61e29916dc1d467ea34d016fb755f29d, msgType : 19
[DEBUG] [2020-12-13 14:16:47] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 2d28ea69a9324a9cb1a01c59efafef92, msgType : 19
[DEBUG] [2020-12-13 14:16:47] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 5b8d1514db864a33b20475e024eb58ec, msgType : 19
[DEBUG] [2020-12-13 14:16:49] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : fe58d7f404524cfd831c7183a0e17571, msgType : 19
[DEBUG] [2020-12-13 14:16:49] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : b3feeeb55a5b4c0ba76ed0cf2f05e8f0, msgType : 19
[DEBUG] [2020-12-13 14:16:51] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : f886caff7ce6460ba5151241c89d40d8, msgType : 19
[DEBUG] [2020-12-13 14:16:51] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 07b8f9d331df49bab4098b66b81eb991, msgType : 19
[DEBUG] [2020-12-13 14:16:53] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 311680fea23549f1bf8a98bbddb88c20, msgType : 19
[DEBUG] [2020-12-13 14:16:53] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : e7a83015b85c46ef8912417a2fe29884, msgType : 19
[DEBUG] [2020-12-13 14:16:55] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 3b910492a2d8457aa875ceaad0535dd0, msgType : 19
[DEBUG] [2020-12-13 14:16:55] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 7d97eabaff3b42cfa7159ac24acf8a17, msgType : 19
[DEBUG] [2020-12-13 14:16:57] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : b28fce367f5849a18fdd5c3e135c57aa, msgType : 19
[DEBUG] [2020-12-13 14:16:57] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 0d733b7c2a9244b6b1db4a064c06dbad, msgType : 19
[DEBUG] [2020-12-13 14:16:59] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : c0523aa057394ec5b8eae4eea9a04701, msgType : 19
[DEBUG] [2020-12-13 14:16:59] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 83bad6c9a71640f8b6a40ff9761e0695, msgType : 19
[DEBUG] [2020-12-13 14:17:01] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : da7c23e18d7145a5bd6e7e095899189f, msgType : 19
[DEBUG] [2020-12-13 14:17:01] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 569fd3d92bf44d859b9bb0a28e52c20e, msgType : 19
[DEBUG] [2020-12-13 14:17:03] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 70c1c4272dd5443da02b5cbb912d226a, msgType : 19
[DEBUG] [2020-12-13 14:17:03] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : bc6f4604094d4a858faa1c5f8586a11b, msgType : 19
[DEBUG] [2020-12-13 14:17:05] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 75c5f8ae85f84cdba3ff8602c87ffd57, msgType : 19
[DEBUG] [2020-12-13 14:17:05] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 114cb10e8d074908bcb0e8617fd4e5c2, msgType : 19
[DEBUG] [2020-12-13 14:17:07] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : cbe31c2462e34f3e985924f3cf3f3740, msgType : 19
[DEBUG] [2020-12-13 14:17:07] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 9c89a08220f24eaa8e356125d601724e, msgType : 19
[DEBUG] [2020-12-13 14:17:09] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 3aca1540874f4efba8f96bf447ce5760, msgType : 19
[DEBUG] [2020-12-13 14:17:09] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 688c90268ffa472bbc7eccf6ed3bedde, msgType : 19
[DEBUG] [2020-12-13 14:17:11] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : effdf857e4764376b7d89450adfb3bb6, msgType : 19
[DEBUG] [2020-12-13 14:17:11] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 1316d386a0b74f908c65a3260e09652a, msgType : 19
[DEBUG] [2020-12-13 14:17:13] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : c21a0bba65e4424fa9ed51b8cdffffc4, msgType : 19
[DEBUG] [2020-12-13 14:17:13] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 5032c5ea387f4483b82bff6e16860a71, msgType : 19
[DEBUG] [2020-12-13 14:17:15] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 7b536919466b441580fda3689ce1353b, msgType : 19
[DEBUG] [2020-12-13 14:17:15] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 4efb60ba2c5d4c8782860e0ecfb9333b, msgType : 19
[DEBUG] [2020-12-13 14:17:17] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 8170a4c656bd47f0b77cdb573e9b4ab6, msgType : 19
[DEBUG] [2020-12-13 14:17:17] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : c63d4f1f0f194e988352ec04d1b1c946, msgType : 19
[DEBUG] [2020-12-13 14:17:19] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 7d6459e66b714301b6c53521ff74810b, msgType : 19
[DEBUG] [2020-12-13 14:17:19] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 0166a2687225467d9925ac8f84d4ca45, msgType : 19
[DEBUG] [2020-12-13 14:17:21] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 5c1c245b1e8746dda9ec0e0351b5be1e, msgType : 19
[DEBUG] [2020-12-13 14:17:21] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 2735ac59b4f84ccfad61d332c7176f30, msgType : 19
[DEBUG] [2020-12-13 14:17:23] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 5965392422c44d0eaa02a4130b21af33, msgType : 19
[DEBUG] [2020-12-13 14:17:23] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 28673d43f2c04c869f66956942f9932d, msgType : 19
[DEBUG] [2020-12-13 14:17:25] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 7c60d799792f4cfb92fc93a12a308a05, msgType : 19
[DEBUG] [2020-12-13 14:17:25] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 9380d0b3efea4a9da95996f9b623bfd4, msgType : 19
[DEBUG] [2020-12-13 14:17:25] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : f6b017d3f4be41f4bbc7d32eab964ea0, msgType : 18
[DEBUG] [2020-12-13 14:17:25] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : a695428c253c4bb2aabce3da71b8e9ae, msgType : 18
[DEBUG] [2020-12-13 14:17:27] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 80bcde0fb954464bb87d01e788398692, msgType : 19
[DEBUG] [2020-12-13 14:17:27] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 7b146b74ee9e4f51b022773af9a23cbc, msgType : 19
[DEBUG] [2020-12-13 14:17:29] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : d59bf264e03b4a589ca5f4fd5b4e5a78, msgType : 19
[DEBUG] [2020-12-13 14:17:29] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 6c823bc338a1425eba1aa8bd6a79e86c, msgType : 19
[DEBUG] [2020-12-13 14:17:31] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 0a8fc0cb72b04dfdaeb3adb44f4e6322, msgType : 19
[DEBUG] [2020-12-13 14:17:31] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 4a811e75c2b643f29aa612b8c2205ddc, msgType : 19
[DEBUG] [2020-12-13 14:17:33] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 92ef4dcbc1f64c8298a18d3aa3014b5e, msgType : 19
[DEBUG] [2020-12-13 14:17:33] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 9dc159ae0e6b46f2a03fa85fc26a9471, msgType : 19
[DEBUG] [2020-12-13 14:17:35] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 6b589a8a6c1d4709a8d3160373ad9dee, msgType : 19
[DEBUG] [2020-12-13 14:17:35] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : e38ae157c90343f6a0af2801f29d5a33, msgType : 19
[DEBUG] [2020-12-13 14:17:37] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 6581006d1f40420e83112dfc18c32e95, msgType : 19
[DEBUG] [2020-12-13 14:17:37] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : da8d3fe7f69b46529542c382ff78aa60, msgType : 19
[DEBUG] [2020-12-13 14:17:39] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : a4789bf96a7f44b9ab9dd8fef97f2705, msgType : 19
[DEBUG] [2020-12-13 14:17:39] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : d3031fb9b2c249d69792f2e8e65bfb22, msgType : 19
[DEBUG] [2020-12-13 14:17:41] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 87a962c217d743a2b68be672825f7406, msgType : 19
[DEBUG] [2020-12-13 14:17:41] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 67eb7415b2ad46e7b6c2e9e361cd8bd1, msgType : 19
[DEBUG] [2020-12-13 14:17:43] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 82ed6fc718a74b8cb62b8b51d9420388, msgType : 19
[DEBUG] [2020-12-13 14:17:43] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 2c725b67fef44f70a667b6f6d4d2c3c3, msgType : 19
[DEBUG] [2020-12-13 14:17:45] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 1bab775bfc474ea49874bc4b3f5f8a87, msgType : 19
[DEBUG] [2020-12-13 14:17:45] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 59e0918735d34c84872e293511cc2916, msgType : 19
[DEBUG] [2020-12-13 14:17:47] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : ccc01d00334944ad9f1f677f7a307ef7, msgType : 19
[DEBUG] [2020-12-13 14:17:47] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : b439cb3d3515410d85e857711d3a5946, msgType : 19
[DEBUG] [2020-12-13 14:17:49] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : ef98afa67f5c408cac86fdb95b575b46, msgType : 19
[DEBUG] [2020-12-13 14:17:49] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : bf67196e4bff41c29f40e3fea2f44516, msgType : 19
[DEBUG] [2020-12-13 14:17:51] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : ea0205f2f45849959a9835e58eb08e53, msgType : 19
[DEBUG] [2020-12-13 14:17:51] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 999360eaa44447979c51a5a7f7f02af8, msgType : 19
[DEBUG] [2020-12-13 14:17:53] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : dfcad927fca44ebc8194b951f100669b, msgType : 19
[DEBUG] [2020-12-13 14:17:53] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : cb846e33d89447f0a6ca090ab7cafe23, msgType : 19
[DEBUG] [2020-12-13 14:17:55] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : ff69fe4fcdf64fa19e7f76d6e4404aac, msgType : 19
[DEBUG] [2020-12-13 14:17:55] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 5e93f16037e2451d99a0e13ea7919769, msgType : 19
[DEBUG] [2020-12-13 14:17:57] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : bbc0ddb7ac054f7db9e559d0badaef34, msgType : 19
[DEBUG] [2020-12-13 14:17:57] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 6cb0fa5c09aa4d8c9834c4e33fc5e797, msgType : 19
[DEBUG] [2020-12-13 14:17:59] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : b80f0b476ac54fc989a1b489a147be7f, msgType : 19
[DEBUG] [2020-12-13 14:17:59] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 8510b602c0d7494788c96de05be051e7, msgType : 19
[DEBUG] [2020-12-13 14:18:01] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 974356f1a6384851b056ec07ecbe6c94, msgType : 19
[DEBUG] [2020-12-13 14:18:01] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : b519da6aac1648698f5b3814bf6cc612, msgType : 19
[DEBUG] [2020-12-13 14:18:03] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 3bd717a907fe4aff9fd04ab8d83aefc5, msgType : 19
[DEBUG] [2020-12-13 14:18:03] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : c05f03b250714d9099358509d14af52b, msgType : 19
[DEBUG] [2020-12-13 14:18:05] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 93e7eead0b8c4e0d8f38830d5ca7de1e, msgType : 19
